area_marla,bedroom,bath,type_enc,purpose_enc,city_enc,price_lakh
5.0,3.0,4.0,2,1,9,190.0
20.0,5.0,6.0,2,1,9,666.0
10.0,3.0,3.0,1,1,9,275.0
20.0,6.0,7.0,2,1,9,825.0
3.0,3.0,4.0,2,1,9,120.0
20.0,5.0,7.0,2,1,9,714.0
20.0,5.0,6.0,2,1,9,685.0
20.0,5.0,6.0,2,1,9,800.0
20.0,5.0,6.0,2,1,9,750.0
5.0,3.0,4.0,2,1,9,198.0
32.0,5.0,6.0,2,1,9,715.0
20.0,5.0,6.0,2,1,9,775.0
5.0,3.0,4.0,2,1,9,320.0
10.0,5.0,5.0,2,1,9,260.0
20.0,5.0,6.0,2,1,9,765.0
3.0,3.0,3.0,2,1,9,110.00000000000001
14.0,5.0,6.0,2,1,9,415.00000000000006
10.0,5.0,6.0,2,1,9,409.99999999999994
20.0,5.0,6.0,2,1,9,710.0
5.0,3.0,5.0,2,1,9,250.0
10.0,4.0,4.0,2,1,9,400.0
5.0,3.0,4.0,2,1,9,235.0
11.4,3.0,4.0,1,1,9,127.0
20.0,5.0,6.0,2,1,9,1075.0
5.0,4.0,5.0,2,1,9,170.0
10.0,3.0,4.0,1,1,9,242.0
5.0,4.0,5.0,2,1,9,170.0
20.0,6.0,6.0,2,1,9,685.0
5.0,2.0,2.0,1,1,9,53.0
20.0,5.0,6.0,2,1,9,685.0
5.0,3.0,4.0,2,1,9,220.00000000000003
20.0,5.0,5.0,2,1,9,705.0
10.0,2.0,3.0,2,1,9,185.0
5.0,4.0,5.0,2,1,9,155.0
20.0,5.0,6.0,2,1,9,630.0
10.0,5.0,6.0,2,1,9,335.0
20.0,4.0,5.0,2,1,9,815.0
40.0,7.0,7.0,2,1,9,1000.0
5.0,4.0,6.0,2,1,9,180.0
20.0,5.0,6.0,2,1,9,749.0
20.0,5.0,6.0,2,1,9,800.0
5.0,5.0,6.0,2,1,9,195.0
20.0,5.0,6.0,2,1,9,650.0
10.0,3.0,3.0,1,1,9,290.0
10.0,5.0,6.0,2,1,9,345.0
5.0,3.0,4.0,2,1,9,310.0
5.0,3.0,4.0,2,1,9,240.0
20.0,5.0,6.0,2,1,9,690.0
7.0,6.0,6.0,2,1,9,350.0
20.0,6.0,6.0,2,1,9,700.0
10.0,5.0,5.0,2,1,9,310.0
20.0,5.0,6.0,2,1,9,875.0
5.0,4.0,5.0,2,1,9,120.0
20.0,6.0,6.0,2,1,9,640.0
10.0,4.0,5.0,2,1,9,350.0
10.0,5.0,7.0,2,1,9,335.0
12.0,4.0,4.0,1,1,9,310.0
6.0,3.0,4.0,2,1,9,240.0
3.3,2.0,2.0,2,1,9,150.0
5.0,3.0,5.0,2,1,9,160.0
3.8,1.0,1.0,1,1,9,94.0
3.0,3.0,4.0,2,1,9,85.0
5.0,3.0,4.0,2,1,9,160.0
10.0,4.0,5.0,2,1,9,550.0
10.0,3.0,4.0,1,1,9,260.0
22.0,5.0,7.0,2,1,9,549.0
5.0,4.0,4.0,2,1,9,170.0
20.0,5.0,6.0,2,1,9,700.0
20.0,5.0,7.0,2,1,9,950.0
20.0,5.0,6.0,2,1,9,725.0
